#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"HostName","TimeStamp","TimeToLive","RecordType","IP","CName"
"ForestDnsZones","01.3.2025 04:00:00","00:10:00","A","10.10.50.2",
"ForestDnsZones","28.2.2025 19:00:00","00:10:00","A","10.10.50.1",
"ForestDnsZones","02.3.2025 17:00:00","00:10:00","A","10.15.50.11",
"ForestDnsZones","03.3.2025 17:00:00","00:10:00","A","10.10.50.3",
"ForestDnsZones","01.3.2025 14:00:00","00:10:00","A","10.50.23.100",
"ForestDnsZones","05.3.2025 11:00:00","00:10:00","A","10.15.50.1",
"_ldap._tcp.Bugarija._sites.ForestDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Bugarija._sites.ForestDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Bugarija._sites.ForestDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.Bugarija._sites.ForestDnsZones","04.3.2025 08:00:00","00:10:00","SRV",,
"_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","01.3.2025 15:00:00","00:10:00","SRV",,
"_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","02.3.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Hrvatska._sites.ForestDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Hrvatska._sites.ForestDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Hrvatska._sites.ForestDnsZones","02.3.2025 06:00:00","00:10:00","SRV",,
"_ldap._tcp.Hrvatska._sites.ForestDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.Lafoma._sites.ForestDnsZones","02.3.2025 22:00:00","00:10:00","SRV",,
"_ldap._tcp.Rusija._sites.ForestDnsZones","28.2.2025 15:00:00","00:10:00","SRV",,
"_ldap._tcp.Rusija._sites.ForestDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.Rusija._sites.ForestDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Rusija._sites.ForestDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaLab._sites.ForestDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaLab._sites.ForestDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaLab._sites.ForestDnsZones","01.3.2025 23:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaLab._sites.ForestDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaOffice._sites.ForestDnsZones","01.3.2025 23:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaOffice._sites.ForestDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaOffice._sites.ForestDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaOffice._sites.ForestDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Srbija._sites.ForestDnsZones","04.3.2025 00:00:00","00:10:00","SRV",,
"_ldap._tcp.Srbija._sites.ForestDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Srbija._sites.ForestDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.Srbija._sites.ForestDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.STRUMICA._sites.ForestDnsZones","01.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.STRUMICA._sites.ForestDnsZones","02.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.ForestDnsZones","01.3.2025 15:00:00","00:10:00","SRV",,
"_ldap._tcp.ForestDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.ForestDnsZones","01.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.ForestDnsZones","02.3.2025 22:00:00","00:10:00","SRV",,
"_ldap._tcp.ForestDnsZones","02.3.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.ForestDnsZones","02.3.2025 17:00:00","00:10:00","SRV",,
"front-mes-dev",,"01:00:00","A","10.10.144.11",
"front-mes-prd",,"01:00:00","A","10.10.144.4",
"front-mes-tst",,"01:00:00","A","10.10.144.8",
"HM-21201166","24.2.2025 14:00:00","00:20:00","A","10.10.9.150",
"hrvzg-acc-1",,"01:00:00","A","172.25.1.2",
"hrvzg-acc-2",,"01:00:00","A","172.25.1.3",
"hrvzg-acc-3",,"01:00:00","A","172.25.1.5",
"intranet",,"01:00:00","A","10.10.55.18",
"IPCAINST0001","25.2.2025 13:00:00","00:20:00","A","10.10.35.225",
